origin,destination,people_count
United States,China,165
China,United States,118
Canada,United States,37
Australia,China,30
United States,Australia,29
Australia,United States,26
United States,Canada,26
United Kingdom,United States,25
United States,United Kingdom,24
South Korea,United States,22
Canada,China,19
United States,South Korea,19
United Kingdom,China,17
Singapore,United States,15
China,Australia,13
China,Canada,13
Singapore,China,12
United States,Japan,10
United States,Singapore,10
Japan,United States,9
Australia,United Kingdom,8
China,New Zealand,8
China,United Kingdom,8
New Zealand,United States,8
China,Thailand,7
Malaysia,United States,7
Canada,United Kingdom,6
China,Japan,6
China,Malaysia,6
United States,New Zealand,6
Australia,Canada,5
China,Germany,5
China,Singapore,5
Netherlands,United States,5
South Africa,United States,5
United Kingdom,Australia,5
United States,Malaysia,5
United States,Netherlands,5
Belgium,China,4
Germany,United States,4
Israel,United States,4
Malaysia,Australia,4
Malaysia,New Zealand,4
New Zealand,China,4
Singapore,Sweden,4
Singapore,United Kingdom,4
United States,Brunei,4
United States,Germany,4
United States,Switzerland,4
United States,Thailand,4
Australia,Brunei,3
Australia,Germany,3
Australia,New Zealand,3
Australia,Vietnam,3
Brunei,United States,3
China,Finland,3
Switzerland,United States,3
United States,Russia,3
Australia,Cambodia,2
Australia,Japan,2
Australia,Malaysia,2
Canada,Singapore,2
China,South Korea,2
Germany,Singapore,2
Greece,United States,2
Israel,United Kingdom,2
Singapore,Canada,2
Singapore,New Zealand,2
South Korea,China,2
Thailand,China,2
Thailand,United States,2
United Kingdom,Canada,2
United Kingdom,New Zealand,2
United Kingdom,Singapore,2
United States,Ireland,2
United States,South Africa,2
Vietnam,Australia,2
Australia,Austria,1
Australia,Netherlands,1
Australia,Singapore,1
Australia,South Korea,1
Australia,Spain,1
Australia,Thailand,1
Australia,United Arab Emirates,1
Austria,Australia,1
Austria,United Kingdom,1
Belgium,United States,1
Brunei,Australia,1
Brunei,Indonesia,1
Brunei,United Kingdom,1
Cambodia,Australia,1
Canada,Australia,1
Canada,Cambodia,1
Canada,Germany,1
Canada,Norway,1
Canada,South Africa,1
Canada,South Korea,1
Canada,Thailand,1
Canada,Vietnam,1
Chile,United States,1
China,Netherlands,1
China,Spain,1
China,Sweden,1
Czech Republic,Australia,1
Denmark,United Kingdom,1
Finland,United Kingdom,1
Germany,Australia,1
Germany,Belgium,1
Germany,Japan,1
Germany,Switzerland,1
Ghana,South Korea,1
Indonesia,Malaysia,1
Indonesia,Netherlands,1
Ireland,Canada,1
Ireland,China,1
Ireland,Russia,1
Ireland,United Kingdom,1
Ireland,United States,1
Israel,Australia,1
Italy,United States,1
Japan,Netherlands,1
Japan,Poland,1
Japan,Singapore,1
Japan,Sint Maarten,1
Japan,Vietnam,1
Malaysia,China,1
Malaysia,Singapore,1
Malaysia,Vietnam,1
Netherlands,Australia,1
Netherlands,China,1
New Zealand,Australia,1
New Zealand,Netherlands,1
New Zealand,Thailand,1
New Zealand,United Arab Emirates,1
New Zealand,Vietnam,1
Philippines,United States,1
Poland,United States,1
Pr 00708 Usa,United States,1
Russia,United States,1
Singapore,Ireland,1
Singapore,South Korea,1
South Korea,Canada,1
South Korea,Finland,1
South Korea,Spain,1
South Korea,United Kingdom,1
Spain,Turkey,1
Spain,United States,1
Spain,Vietnam,1
Sweden,Singapore,1
Sweden,Thailand,1
Sweden,United States,1
Switzerland,China,1
Switzerland,United Kingdom,1
Thailand,South Korea,1
Turkey,United States,1
United Arab Emirates,United States,1
United Kingdom,Ireland,1
United Kingdom,Russia,1
United States,Belgium,1
United States,Chile,1
United States,Colombia,1
United States,Finland,1
United States,France,1
United States,Greece,1
United States,Hungary,1
United States,Spain,1
United States,United Arab Emirates,1
United States,Vietnam,1
United States,Zimbabwe,1
Vietnam,Canada,1
Vietnam,Malaysia,1
Vietnam,Thailand,1
Vietnam,United Kingdom,1
Zimbabwe,United States,1
